"rank","priority","score","agent","segment","ecosystem","physical_assumption","problem","payment_evidence","buyer_authority","protocol_fit","plausible_error_cost","break_even_at_2_usd","contact_path","previous_outreach","next_action","source","verified_on"
"1","A","73","Fanfare","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 38 payer(s), 47 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://fanfare.run","GitHub issue #1 sent 2026-09-27","Wait for reply; do not duplicate contact","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"2","A","72","Mycelia Signal","risk/RWA","Agentic Market / x402","A claimed real-world asset, event, condition, or compliance fact is physically true and current","Attach fresh independent evidence to a claim before settlement, underwriting, or escalation","Public x402 listing; Base-compatible=True; listed 30-day signal: 8 payer(s), 100 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$100+","<=2%","https://myceliasignal.com","GitHub issue #1 sent 2026-09-27","Wait for reply; do not duplicate contact","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"3","A","72","Otto AI","agent infrastructure","Agentic Market / x402","A downstream agent can safely act on a present physical fact that its APIs cannot directly observe","Offer a paid physical-world verification primitive to agents already buying digital tools","Public x402 listing; Base-compatible=True; listed 30-day signal: 912 payer(s), 5809 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","Requires discovery","Not yet calculable","https://useotto.xyz","GitHub issue #1 sent 2026-09-27","Wait for reply; do not duplicate contact","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"4","A","68","PostalForm","commerce/logistics","Agentic Market / x402","The item, shelf price, stock, package, display, or delivery state exists as represented right now","Verify stock, price, condition, merchandising, pickup, or delivery before money or state changes","Public x402 listing; Base-compatible=True; listed 30-day signal: 0 payer(s), 0 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$10+","<=20%","https://postalform.com","GitHub issue #1 sent 2026-09-27","Wait for reply; do not duplicate contact","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"5","A","65","Apify","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 33 payer(s), 106 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://apify.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"6","A","64","EMC2 AI","risk/RWA","Agentic Market / x402","A claimed real-world asset, event, condition, or compliance fact is physically true and current","Attach fresh independent evidence to a claim before settlement, underwriting, or escalation","Public x402 listing; Base-compatible=True; listed 30-day signal: 1 payer(s), 2 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$100+","<=2%","https://emc2ai.io","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"7","A","64","Nansen","research/intelligence","Agentic Market / x402","A consequential digital claim about a place, product, or event still matches present physical reality","Add primary evidence when web/RAG sources are stale, correlated, or unable to observe the scene","Public x402 listing; Base-compatible=True; listed 30-day signal: 373 payer(s), 3866 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$5+","<=40%","https://nansen.ai/","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"8","A","62","RentCast","property/facilities","Agentic Market / x402","The premises, equipment, damage, access, or occupancy matches the digital record right now","Prevent a remote decision from relying on stale listing, sensor, or maintenance data","Public x402 listing; Base-compatible=True; listed 30-day signal: 7 payer(s), 8 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$100+","<=2%","https://developers.rentcast.io","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"9","A","61","FlightAware","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 41 payer(s), 55 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://www.flightaware.com","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
"10","A","58","Tripadvisor","travel/location","Agentic Market / x402","The venue, route, queue, signage, accessibility, or local availability matches published data right now","Prevent failed trips, bookings, or recommendations caused by stale local information","Public x402 listing; Base-compatible=True; listed 30-day signal: 11 payer(s), 11 call(s)","Unverified: x402 participation proves compatibility, not that this operator buys third-party services","Direct: GroundTruth accepts Base USDC via HTTP 402","$20+","<=10%","https://tripadvisor-content-api.readme.io","None recorded","Confirm a concrete physical dependency with the operator; pitch one $2 quick_check, then $0.10 evaluation fallback","https://api.agentic.market/v1/services?limit=500","2026-09-27"
